,lat,lon,timestamp,amenity,name,tags,opening_hours,website,distance
0,49.2668529,-123.0090851,2020-03-03T02:18:15.000-08:00,restaurant,Sushi Garden,"{'addr:province': 'BC', 'addr:housenumber': '4269', 'air_conditioning': 'yes', 'smoking': 'no', 'cuisine': 'japanese', 'addr:street': 'Lougheed Highway', 'addr:postcode': 'V5C 3Y6', 'addr:city': 'Burnaby'}",,,436.0251047757658
1,49.2661164,-123.004414,2019-09-13T13:57:02.000-07:00,pharmacy,Shoppers Drug Mart,"{'addr:housenumber': '4460', 'addr:street': 'Lougheed Highway', 'addr:city': 'Burnaby'}",,,185.7494869572922
2,49.2656756,-123.0044104,2019-09-13T13:57:02.000-07:00,fast_food,Uncle Faith's Pizza,"{'addr:housenumber': '2-4465', 'addr:street': 'Skyline Drive', 'addr:city': 'Burnaby'}",,,229.80965428858835
3,49.2676308,-123.0035092,2019-09-13T13:57:04.000-07:00,fast_food,Subway,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '1895', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'addr:street': 'Willingdon Avenue', 'takeaway': 'yes', 'brand': 'Subway', 'addr:city': 'Burnaby'}",,,24.54478870826446
4,49.2657453,-123.0055504,2019-09-13T13:57:04.000-07:00,restaurant,Ricky's Cafe,"{'addr:housenumber': '4415', 'addr:street': 'Skyline Drive', 'addr:unit': '1', 'addr:city': 'Burnaby'}",,,266.83655857221544
5,49.2672817,-123.0036464,2019-09-13T13:57:04.000-07:00,bank,TD Canada Trust,"{'brand:wikidata': 'Q1080670', 'addr:housenumber': '1933', 'brand:wikipedia': 'en:TD Canada Trust', 'addr:street': 'Willingdon Avenue', 'brand': 'TD Canada Trust', 'addr:city': 'Burnaby'}",,,47.385919970849315
6,49.2676145,-123.0035285,2019-06-17T23:24:29.000-07:00,fast_food,Subway,"{'brand:wikidata': 'Q244457', 'addr:housenumber': '1895', 'brand:wikipedia': 'en:Subway (restaurant)', 'cuisine': 'sandwich', 'takeaway': 'yes', 'brand': 'Subway'}",,,25.575701599679686
7,49.2668062,-123.0043359,2020-01-24T04:10:52.000-08:00,fast_food,Fatburger,"{'cuisine': 'burger', 'addr:street': 'Lougheed Highway', 'addr:city': 'Burnaby'}",,,120.15630674551743
8,49.2667088,-123.0046655,2020-02-21T01:55:01.000-08:00,restaurant,Sooda Korean BBQ,"{'addr:province': 'BC', 'note': 'Closed August to early October, 2014.', 'addr:housenumber': '4455', 'phone': '+1-604-293-9955', 'opening_hours': 'Mo-Sa 11:00-22:00', 'cuisine': 'korean', 'addr:street': 'Lougheed Highway', 'addr:postcode': 'V5C 3Z2', 'addr:city': 'Burnaby'}",Mo-Sa 11:00-22:00,,144.9209697056086
9,49.2656908,-123.0038687,2020-02-21T01:53:10.000-08:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'addr:province': 'BC', 'official_name': 'Starbucks Coffee', 'internet_access': 'yes', 'brand:wikipedia': 'en:Starbucks', 'internet_access:fee': 'no', 'cuisine': 'coffee_shop', 'outdoor_seating': 'yes', 'takeaway': 'yes', 'brand': 'Starbucks', 'addr:city': 'Burnaby'}",,,215.93130113596663
